id,title,description,image_link,link,google_product_category,brand,price,currency,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition
"42","Apple Cinema 30""","The 30-inch Apple Cinema HD Display delivers an amazing 2560 x 1600 pixel resolution. Designed specifically for the creative professional, this display provides more space for easier access to all the tools and palettes needed to edit, format and composite your work. Combine this display with a Mac Pro, MacBook Pro, or PowerMac G5 and there's no limit to what you can achieve. 
	
	The Cinema HD features an active-matrix liquid crystal display that produces flicker-free images that deliver twice the brightness, twice the sharpness and twice the contrast ratio of a typical CRT display. Unlike other flat panels, it's designed with a pure digital interface to deliver distortion-free images that never need adjusting. With over 4 million digital pixels, the display is uniquely suited for scientific and technical applications such as visualizing molecular structures or analyzing geological data. 
	
	Offering accurate, brilliant color performance, the Cinema HD delivers up to 16.7 million colors across a wide gamut allowing you to see subtle nuances between colors from soft pastels to rich jewel tones. A wide viewing angle ensures uniform color from edge to edge. Apple's ColorSync technology allows you to create custom profiles to maintain consistent color onscreen and in print. The result: You can confidently use this display in all your color-critical applications. 
	
	Housed in a new aluminum design, the display has a very thin bezel that enhances visual accuracy. Each display features two FireWire 400 ports and two USB 2.0 ports, making attachment of desktop peripherals, such as iSight, iPod, digital and still cameras, hard drives, printers and scanners, even more accessible and convenient. Taking advantage of the much thinner and lighter footprint of an LCD, the new displays support the VESA (Video Electronics Standards Association) mounting interface standard. Customers with the optional Cinema Display VESA Mount Adapter kit gain the flexibility to mount their display in locations most appropriate for their work environment. 
	
	The Cinema HD features a single cable design with elegant breakout for the USB 2.0, FireWire 400 and a pure digital connection using the industry standard Digital Video Interface (DVI) interface. The DVI connection allows for a direct pure-digital connection.
	

	Features:

	Unrivaled display performance

	
		30-inch (viewable) active-matrix liquid crystal display provides breathtaking image quality and vivid, richly saturated color.
	
		Support for 2560-by-1600 pixel resolution for display of high definition still and video imagery.
	
		Wide-format design for simultaneous display of two full pages of text and graphics.
	
		Industry standard DVI connector for direct attachment to Mac- and Windows-based desktops and notebooks
	
		Incredibly wide (170 degree) horizontal and vertical viewing angle for maximum visibility and color performance.
	
		Lightning-fast pixel response for full-motion digital video playback.
	
		Support for 16.7 million saturated colors, for use in all graphics-intensive applications.


	Simple setup and operation

	
		Single cable with elegant breakout for connection to DVI, USB and FireWire ports
	
		Built-in two-port USB 2.0 hub for easy connection of desktop peripheral devices.
	
		Two FireWire 400 ports to support iSight and other desktop peripherals


	Sleek, elegant design

	
		Huge virtual workspace, very small footprint.
	
		Narrow Bezel design to minimize visual impact of using dual displays
	
		Unique hinge design for effortless adjustment
	
		Support for VESA mounting solutions (Apple Cinema Display VESA Mount Adapter sold separately)


	Technical specifications

	Screen size (diagonal viewable image size)

	
		Apple Cinema HD Display: 30 inches (29.7-inch viewable)


	Screen type

	
		Thin film transistor (TFT) active-matrix liquid crystal display (AMLCD)


	Resolutions

	
		2560 x 1600 pixels (optimum resolution)
	
		2048 x 1280
	
		1920 x 1200
	
		1280 x 800
	
		1024 x 640


	Display colors (maximum)

	
		16.7 million


	Viewing angle (typical)

	
		170° horizontal; 170° vertical


	Brightness (typical)

	
		30-inch Cinema HD Display: 400 cd/m2


	Contrast ratio (typical)

	
		700:1


	Response time (typical)

	
		16 ms


	Pixel pitch

	
		30-inch Cinema HD Display: 0.250 mm


	Screen treatment

	
		Antiglare hardcoat


	User controls (hardware and software)

	
		Display Power,
	
		System sleep, wake
	
		Brightness
	
		Monitor tilt


	Connectors and cables
	Cable

	
		DVI (Digital Visual Interface)
	
		FireWire 400
	
		USB 2.0
	
		DC power (24 V)


	Connectors

	
		Two-port, self-powered USB 2.0 hub
	
		Two FireWire 400 ports
	
		Kensington security port


	VESA mount adapter
	Requires optional Cinema Display VESA Mount Adapter (M9649G/A)

	
		Compatible with VESA FDMI (MIS-D, 100, C) comp","http://localhost:8080/opencart/image/catalog/demo/apple_cinema_30.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=42","Monitors","Apple","122 USD","USD","in stock","42","http://localhost:8080/opencart/index.php?route=product/product&product_id=42","http://localhost:8080/opencart/image/catalog/demo/canon_logo.jpg,http://localhost:8080/opencart/image/catalog/demo/hp_1.jpg,http://localhost:8080/opencart/image/catalog/demo/compaq_presario.jpg,http://localhost:8080/opencart/image/catalog/demo/canon_eos_5d_1.jpg,http://localhost:8080/opencart/image/catalog/demo/canon_eos_5d_2.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","110 USD","new"
"30","Canon EOS 5D","Canon's press material for the EOS 5D states that it 'defines (a) new D-SLR category', while we're not typically too concerned with marketing talk this particular statement is clearly pretty accurate. The EOS 5D is unlike any previous digital SLR in that it combines a full-frame (35 mm sized) high resolution sensor (12.8 megapixels) with a relatively compact body (slightly larger than the EOS 20D, although in your hand it feels noticeably 'chunkier'). The EOS 5D is aimed to slot in between the EOS 20D and the EOS-1D professional digital SLR's, an important difference when compared to the latter is that the EOS 5D doesn't have any environmental seals. While Canon don't specifically refer to the EOS 5D as a 'professional' digital SLR it will have obvious appeal to professionals who want a high quality digital SLR in a body lighter than the EOS-1D. It will also no doubt appeal to current EOS 20D owners (although lets hope they've not bought too many EF-S lenses...) äë","http://localhost:8080/opencart/image/catalog/demo/canon_eos_5d_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=30","Cameras","Canon","122 USD","USD","in stock","30","http://localhost:8080/opencart/index.php?route=product/product&product_id=30","http://localhost:8080/opencart/image/catalog/demo/canon_eos_5d_2.jpg,http://localhost:8080/opencart/image/catalog/demo/canon_eos_5d_3.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","98 USD","new"
"47","HP LP3065","Stop your co-workers in their tracks with the stunning new 30-inch diagonal HP LP3065 Flat Panel Monitor. This flagship monitor features best-in-class performance and presentation features on a huge wide-aspect screen while letting you work as comfortably as possible - you might even forget you're at the office","http://localhost:8080/opencart/image/catalog/demo/hp_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=47","Desktops","Hewlett-Packard","122 USD","USD","in stock","47","http://localhost:8080/opencart/index.php?route=product/product&product_id=47","http://localhost:8080/opencart/image/catalog/demo/hp_3.jpg,http://localhost:8080/opencart/image/catalog/demo/hp_2.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"28","HTC Touch HD","HTC Touch - in High Definition. Watch music videos and streaming content in awe-inspiring high definition clarity for a mobile experience you never thought possible. Seductively sleek, the HTC Touch HD provides the next generation of mobile functionality, all at a simple touch. Fully integrated with Windows Mobile Professional 6.1, ultrafast 3.5G, GPS, 5MP camera, plus lots more - all delivered on a breathtakingly crisp 3.8"" WVGA touchscreen - you can take control of your mobile world with the HTC Touch HD.

	Features

	
		Processor Qualcomm® MSM 7201A™ 528 MHz
	
		Windows Mobile® 6.1 Professional Operating System
	
		Memory: 512 MB ROM, 288 MB RAM
	
		Dimensions: 115 mm x 62.8 mm x 12 mm / 146.4 grams
	
		3.8-inch TFT-LCD flat touch-sensitive screen with 480 x 800 WVGA resolution
	
		HSDPA/WCDMA: Europe/Asia: 900/2100 MHz; Up to 2 Mbps up-link and 7.2 Mbps down-link speeds
	
		Quad-band GSM/GPRS/EDGE: Europe/Asia: 850/900/1800/1900 MHz (Band frequency, HSUPA availability, and data speed are operator dependent.)
	
		Device Control via HTC TouchFLO™ 3D & Touch-sensitive front panel buttons
	
		GPS and A-GPS ready
	
		Bluetooth® 2.0 with Enhanced Data Rate and A2DP for wireless stereo headsets
	
		Wi-Fi®: IEEE 802.11 b/g
	
		HTC ExtUSB™ (11-pin mini-USB 2.0)
	
		5 megapixel color camera with auto focus
	
		VGA CMOS color camera
	
		Built-in 3.5 mm audio jack, microphone, speaker, and FM radio
	
		Ring tone formats: AAC, AAC+, eAAC+, AMR-NB, AMR-WB, QCP, MP3, WMA, WAV
	
		40 polyphonic and standard MIDI format 0 and 1 (SMF)/SP MIDI
	
		Rechargeable Lithium-ion or Lithium-ion polymer 1350 mAh battery
	
		Expansion Slot: microSD™ memory card (SD 2.0 compatible)
	
		AC Adapter Voltage range/frequency: 100 ~ 240V AC, 50/60 Hz DC output: 5V and 1A
	
		Special Features: FM Radio, G-Sensor","http://localhost:8080/opencart/image/catalog/demo/htc_touch_hd_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=28","Phones & PDAs","HTC","122 USD","USD","in stock","28","http://localhost:8080/opencart/index.php?route=product/product&product_id=28","http://localhost:8080/opencart/image/catalog/demo/htc_touch_hd_2.jpg,http://localhost:8080/opencart/image/catalog/demo/htc_touch_hd_3.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"41","iMac","Just when you thought iMac had everything, now there´s even more. More powerful Intel Core 2 Duo processors. And more memory standard. Combine this with Mac OS X Leopard and iLife ´08, and it´s more all-in-one than ever. iMac packs amazing performance into a stunningly slim space.","http://localhost:8080/opencart/image/catalog/demo/imac_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=41","Mac","Apple","122 USD","USD","in stock","41","http://localhost:8080/opencart/index.php?route=product/product&product_id=41","http://localhost:8080/opencart/image/catalog/demo/imac_3.jpg,http://localhost:8080/opencart/image/catalog/demo/imac_2.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"40","iPhone","iPhone is a revolutionary new mobile phone that allows you to make a call by simply tapping a name or number in your address book, a favorites list, or a call log. It also automatically syncs all your contacts from a PC, Mac, or Internet service. And it lets you select and listen to voicemail messages in whatever order you want just like email.","http://localhost:8080/opencart/image/catalog/demo/iphone_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=40","Phones & PDAs","Apple","123.2 USD","USD","in stock","40","http://localhost:8080/opencart/index.php?route=product/product&product_id=40","http://localhost:8080/opencart/image/catalog/demo/iphone_6.jpg,http://localhost:8080/opencart/image/catalog/demo/iphone_2.jpg,http://localhost:8080/opencart/image/catalog/demo/iphone_5.jpg,http://localhost:8080/opencart/image/catalog/demo/iphone_3.jpg,http://localhost:8080/opencart/image/catalog/demo/iphone_4.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","123.2 USD","new"
"48","iPod Classic","More room to move.
		
			With 80GB or 160GB of storage and up to 40 hours of battery life, the new iPod classic lets you enjoy up to 40,000 songs or up to 200 hours of video or any combination wherever you go.
		
			Cover Flow.
		
			Browse through your music collection by flipping through album art. Select an album to turn it over and see the track list.
		
			Enhanced interface.
		
			Experience a whole new way to browse and view your music and video.
		
			Sleeker design.
		
			Beautiful, durable, and sleeker than ever, iPod classic now features an anodized aluminum and polished stainless steel enclosure with rounded edges.","http://localhost:8080/opencart/image/catalog/demo/ipod_classic_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=48","MP3 Players","Apple","122 USD","USD","in stock","48","http://localhost:8080/opencart/index.php?route=product/product&product_id=48","http://localhost:8080/opencart/image/catalog/demo/ipod_classic_4.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_classic_3.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_classic_2.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"36","iPod Nano","Video in your pocket.
	
		Its the small iPod with one very big idea: video. The worlds most popular music player now lets you enjoy movies, TV shows, and more on a two-inch display thats 65% brighter than before.
	
		Cover Flow.
	
		Browse through your music collection by flipping through album art. Select an album to turn it over and see the track list. 
	
		Enhanced interface.
	
		Experience a whole new way to browse and view your music and video.
	
		Sleek and colorful.
	
		With an anodized aluminum and polished stainless steel enclosure and a choice of five colors, iPod nano is dressed to impress.
	
		iTunes.
	
		Available as a free download, iTunes makes it easy to browse and buy millions of songs, movies, TV shows, audiobooks, and games and download free podcasts all at the iTunes Store. And you can import your own music, manage your whole media library, and sync your iPod or iPhone with ease.","http://localhost:8080/opencart/image/catalog/demo/ipod_nano_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=36","MP3 Players","Apple","122 USD","USD","in stock","36","http://localhost:8080/opencart/index.php?route=product/product&product_id=36","http://localhost:8080/opencart/image/catalog/demo/ipod_nano_5.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_nano_4.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_nano_2.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_nano_3.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"34","iPod Shuffle","Born to be worn.
	
		Clip on the worlds most wearable music player and take up to 240 songs with you anywhere. Choose from five colors including four new hues to make your musical fashion statement.
	
		Random meets rhythm.
	
		With iTunes autofill, iPod shuffle can deliver a new musical experience every time you sync. For more randomness, you can shuffle songs during playback with the slide of a switch.
	Everything is easy.
	
		Charge and sync with the included USB dock. Operate the iPod shuffle controls with one hand. Enjoy up to 12 hours straight of skip-free music playback.","http://localhost:8080/opencart/image/catalog/demo/ipod_shuffle_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=34","MP3 Players","Apple","122 USD","USD","in stock","34","http://localhost:8080/opencart/index.php?route=product/product&product_id=34","http://localhost:8080/opencart/image/catalog/demo/ipod_shuffle_5.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_shuffle_4.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_shuffle_2.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_shuffle_3.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
"32","iPod Touch","Revolutionary multi-touch interface.
	iPod touch features the same multi-touch screen technology as iPhone. Pinch to zoom in on a photo. Scroll through your songs and videos with a flick. Flip through your library by album artwork with Cover Flow.

	Gorgeous 3.5-inch widescreen display.
	Watch your movies, TV shows, and photos come alive with bright, vivid color on the 320-by-480-pixel display.

	Music downloads straight from iTunes.
	Shop the iTunes Wi-Fi Music Store from anywhere with Wi-Fi.1 Browse or search to find the music youre looking for, preview it, and buy it with just a tap.

	Surf the web with Wi-Fi.
	Browse the web using Safari and watch YouTube videos on the first iPod with Wi-Fi built in
	 ","http://localhost:8080/opencart/image/catalog/demo/ipod_touch_1.jpg","http://localhost:8080/opencart/index.php?route=product/product&product_id=32","MP3 Players","Apple","122 USD","USD","in stock","32","http://localhost:8080/opencart/index.php?route=product/product&product_id=32","http://localhost:8080/opencart/image/catalog/demo/ipod_touch_7.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_touch_6.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_touch_5.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_touch_2.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_touch_3.jpg,http://localhost:8080/opencart/image/catalog/demo/ipod_touch_4.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","122 USD","new"
